epic, Kp, cdpp_sap, cdpp_pdc, cdpp_k2sc_pdc, cdpp_halo, cdpp_k2sc_halo, enclosed_weight
212373769, 11.345000, 1953.735047, 854.987388, 832.544514, 844.806883, 911.847512, 0.232200
212603536, 11.933000, 5070.502028, 4960.265207, 4897.697749, 4817.158082, 4846.116194, 0.194718
212658593, 11.282000, 569.245994, 482.048730, 465.458960, 435.691327, 425.765787, 0.888446
212696431, 11.168000, 584.012331, 128.061089, 25.974412, 75.656299, 43.501562, 0.503876
212666435, 11.862000, 2183.792643, 107.462643, 59.301374, 88.664084, 77.794870, 0.185025
212434738, 11.900000, 1350.448093, 361.759571, 352.705290, 355.899171, 357.355257, 0.166444
212447338, 11.030000, 387.437590, 72.583952, 30.811645, 44.632853, 26.823863, 0.853328
212422016, 11.811000, 415.029125, 31.245904, 21.799820, 31.897688, 25.197948, 0.249607
212750375, 11.864000, 950.278877, 172.071478, 95.812682, 133.806581, 95.675664, 0.142541
212674064, 11.303000, 1216.751906, 70.974329, 57.827001, 80.449702, 74.237272, 0.222118
212301092, 11.941000, 1498.162605, 93.362446, 73.147977, 94.595116, 94.802654, 0.176009
212675553, 11.704000, 1505.147808, 383.124164, 375.215242, 389.730776, 382.354181, 0.112883
212647129, 11.525000, 254.869536, 26.665460, 19.974505, 22.968541, 20.439503, 0.869732
212844092, 11.859000, 2840.187097, 138.896687, 53.427154, 103.321649, 75.671972, 0.171966
212773858, 11.026000, 9695.503563, 146.550424, 65.074945, 35.651592, 28.028856, 0.541902
212416516, 11.866000, 580.699604, 94.732842, 54.279118, 50.024621, 47.577419, 0.205659
212583701, 11.508000, 1790.648707, 73.244760, 43.021633, 73.978441, 37.092456, 0.141600
212709606, 11.000000, 498.506456, 78.455985, 45.710941, 43.709194, 43.161814, 0.789643
212709652, 11.861000, 4966.080987, 125.648212, 46.856849, 62.375878, 35.448214, 0.095431
212657199, 11.893000, 343.202453, 69.626246, 47.584312, 69.537355, 50.184901, 0.234927
212806612, 11.858000, 1594.553743, 395.794141, 113.707335, 145.495800, 113.449780, 0.141866
212532733, 11.382000, 3019.634178, 612.898253, 568.203499, 590.459428, 569.790013, 0.194860
212396537, 11.498000, 2646.174035, 135.143564, 28.073952, 55.941672, 53.201510, 0.201550
212311841, 11.069000, 3186.327455, 101.840659, 23.702261, 39.372205, 33.663800, 0.197213
212485599, 11.100000, 4551.061521, 184.705703, 80.475217, 44.634941, 23.232193, 0.382767
212541888, 11.933000, 781.128345, 371.158151, 298.494939, 288.336285, 285.105814, 0.125868
212571600, 11.553000, 516.894623, 27.210019, 22.365527, 27.637978, 27.081701, 0.215992
212760567, 11.750000, 4399.416185, 95.340022, 44.003531, 50.021193, 47.779506, 0.201901
212343320, 11.980000, 4243.086647, 564.325949, 472.381982, 497.039153, 496.508373, 0.165037
212706379, 11.815000, 4422.352454, 4761.225203, 888.608602, 1784.752404, 1193.566582, 0.196395
212787165, 11.585000, 2464.991001, 124.384297, 72.322970, 89.783813, 80.999522, 0.140745
212762732, 11.292000, 4197.468864, 97.588548, 32.861039, 79.060666, 42.742796, 0.180132
212797740, 11.039000, 3066.844379, 95.695271, 51.247465, 71.541497, 53.000231, 0.120236
212528588, 11.141000, 571.752439, 583.802682, 582.344947, 594.086662, 594.462904, 0.859103
212363117, 11.344000, 5984.810497, 786.349307, 135.333713, 96.687854, 94.671615, 0.161106
212653185, 11.149000, 125.321312, 124.684704, 62.441183, 86.143874, 72.760156, 0.168885
212624810, 11.321000, 431.398389, 59.353663, 52.595180, 61.295796, 54.830949, 0.779232
212693826, 11.790000, 1324.502897, 83.165514, 33.764445, 112.014894, 62.703162, 0.151496
212807879, 11.569000, 4948.088093, 162.883004, 67.164191, 90.434764, 80.436512, 0.165722
212654148, 11.594000, 436.226492, 37.737383, 29.434220, 34.144334, 28.941986, 0.843264
212564410, 11.861000, 7701.252031, 3035.390303, 2932.419800, 2238.725484, 1970.990066, 0.225304
212741768, 11.715000, 3676.389413, 90.313233, 32.653821, 85.111115, 49.112838, 0.170716
212596204, 11.603000, 789.282970, 49.538949, 31.977517, 49.763286, 38.934096, 0.139414
212393260, 11.468000, 4875.140738, 335.837943, 321.462306, 315.106675, 314.102729, 0.182265
212781734, 11.448000, 2627.723358, 1446.371357, 302.046204, 279.307809, 208.331348, 0.136910
212451181, 11.056000, 245.422568, 96.489292, 35.325233, 33.385265, 30.020049, 0.274707
212776694, 11.372000, 1978.152378, 532.911633, 524.269829, 551.397917, 525.681730, 0.148754
212310220, 11.735000, 4817.286885, 635.504666, 619.215228, 661.114670, 589.554597, 0.222978
212717903, 11.129000, 310.252650, 45.993449, 19.760780, 46.988004, 23.470101, 0.570318
212659511, 11.781000, 4393.318540, 107.866225, 46.527742, 58.972541, 52.783047, 0.151789
212814042, 11.034000, 2347.065110, 237.581026, 132.245657, 144.558510, 129.915532, 0.167710
212693823, 11.441000, 2464.575764, 146.860654, 37.653676, 62.927856, 48.662437, 0.141615
212575702, 11.015000, 1021.661186, 82.853750, 39.560105, 39.748418, 30.717649, 0.163897
